Store,Name,Street,ZIP,City,Canton,Country,Language,Telephone,Tag,Category,Location,Lat,Lon
21210,k Kiosk Paradeplatz,Paradeplatz,8001,Zürich,ZH,CH,DE,044/221 25 57,PARADEPLAT,k kiosk,Paradeplatz Zürich 8001,47.3698898,8.5391271
21351,Tramstation Kreuzplatz,Tramstation,8032,Zürich,ZH,CH,DE,044/262 23 41,TRAM KREUZ,k kiosk,Tramstation Zürich 8032,47.3671055,8.5679249
21472,k Kiosk MM Höngg,Kappenbühlweg 5,8049,Zürich,ZH,CH,DE,044/341 40 62,MM HÖNGG,k kiosk,Kappenbühlweg 5 Zürich 8049,47.4032696,8.4982609
21479,k Kiosk Tor z.Stauffacher,Badenerstr.9,8004,Zürich,ZH,CH,DE,044/291 62 69,TOR STAUFF,k kiosk,Badenerstr.9 Zürich 8004,47.3733923,8.5307371
21528,k kiosk Sihlquai,Halle Sihlquai,8005,Zürich,ZH,CH,DE,044/212 24 26,SIHLQUAI,k kiosk snacks drinks,Halle Sihlquai Zürich 8005,47.3793487,8.537117
21530,k Kiosk Walche,Hauptbhf/Ausg.Landmuseum,8001,Zürich,ZH,CH,DE,044/212 24 19,WALCHE,k kiosk,Hauptbhf/Ausg.Landmuseum Zürich 8001,47.3741561,8.5396323
21532,k kiosk Ladenzentrum,HauptBHF/Halle Museumstr.,8001,Zürich,ZH,CH,DE,044/212 22 75,LADENZENTR,k kiosk,HauptBHF/Halle Museumstr. Zürich 8001,47.3785138,8.540535
21550,k Kiosk Neumarkt Oerlikon,Hofwiesenstrasse 350/354,8050,Zürich,ZH,CH,DE,044/311 66 96,NEUMARKT,k kiosk,Hofwiesenstrasse 350/354 Zürich 8050,47.4104989,8.5425877
21553,k Kiosk Neumarkt Altst.,Altstetterstrasse 145,8048,Zürich,ZH,CH,DE,044/432 03 64,NEUMARKT,k kiosk,Altstetterstrasse 145 Zürich 8048,47.3884037,8.4871042
21597,k kiosk Frachthof,Flughafen Kloten,8058,Zürich-Flughafen,ZH,CH,DE,044/881 46 66,FRACHTHOF,k kiosk,Flughafen Kloten Zürich-Flughafen 8058,47.4582165,8.5554755
21603,kiosk Ankunftshalle,Terminal 1,8060,Zürich-Flughafen,ZH,CH,DE,043/816 28 51,ANKUNFT T.,k kiosk,Terminal 1 Zürich-Flughafen 8060,,
21605,Kiosk Airport ANKUNFT,Terminal 2,8060,Zürich-Flughafen,ZH,CH,DE,043/816 35 03,ANKUNFT  T,k kiosk,Terminal 2 Zürich-Flughafen 8060,,
21607,Kiosk Abflug Terminal 1,Terminal 1,8060,Zürich-Flughafen,ZH,CH,DE,044/881 20 85,ABFLUG  T.,k kiosk,Terminal 1 Zürich-Flughafen 8060,,
21609,kiosk Abflug T2 L2,Abflug T2 L2,8060,Zürich-Flughafen,ZH,CH,DE,043/305 21 86,ABFLUG T2,k kiosk,Abflug T2 L2 Zürich-Flughafen 8060,,
21610,k Buch,Airport Shopping,8060,Zürich-Flughafen,ZH,CH,DE,043/818 96 80,K BUCH,k kiosk buch,Airport Shopping Zürich-Flughafen 8060,,
21675,k Kiosk Meierhofplatz,Limmattalstrasse 177,8049,Zürich,ZH,CH,DE,044/341 20 06,MEIERHOFPL,k kiosk,Limmattalstrasse 177 Zürich 8049,47.4017366,8.4996612
21715,k Kiosk Pfauen,Heimplatz,8001,Zürich,ZH,CH,DE,044/252 22 92,PFAUEN,k kiosk snacks drinks,Heimplatz Zürich 8001,47.3704287,8.5485569
21743,k Kiosk Münstergasse 29,Münstergasse 29,8001,Zürich,ZH,CH,DE,044/262 17 39,MÜNSTERGAS,k kiosk,Münstergasse 29 Zürich 8001,47.3717666,8.5436343
21783,k Kiosk Platz,Schaffhauserstrasse 59,8057,Zürich,ZH,CH,DE,044/362 28 70,PLATZ,k kiosk,Schaffhauserstrasse 59 Zürich 8057,47.392332,8.5386563
21799,Tramstation Milchbuck,Schaffhauserstr.146,8057,Zürich,ZH,CH,DE,044/362 04 24,MILCHBUCK,k kiosk,Schaffhauserstr.146 Zürich 8057,47.3977807,8.5417363
21905,k kiosk Witikon,Witikonerstr 293,8053,Zürich,ZH,CH,DE,044/422 34 40,WITIKON,k kiosk,Witikonerstr 293 Zürich 8053,47.3592595,8.5855385
21911,k Kiosk Klusplatz,VBZ-Haltestelle,8032,Zürich,ZH,CH,DE,044/381 98 18,KLUSPLATZ,k kiosk snacks drinks,VBZ-Haltestelle Zürich 8032,47.3671055,8.5679249
22061,Beim Migros Rigiplatz,Winterthurerstrasse 2-4,8006,Zürich,ZH,CH,DE,044/362 35 40,B.M.RIGIPL,k kiosk,Winterthurerstrasse 2-4 Zürich 8006,47.3862538,8.5487426
22065,k Kiosk Bärengasse,Bärengasse 16,8001,Zürich,ZH,CH,DE,044/221 31 36,BÄRENGASSE,k kiosk,Bärengasse 16 Zürich 8001,47.3700446,8.5370738
22070,k Kiosk Brunaupark,Giesshübelstrasse 65,8045,Zürich,ZH,CH,DE,044/462 17 29,BRUNAUPARK,k kiosk,Giesshübelstrasse 65 Zürich 8045,47.3580611,8.5174056
22141,Beim MM Limmatstrasse,Limmatstr. 152/Postfach,8031,Zürich,ZH,CH,DE,044/272 29 81,BEIM MM,k kiosk,Limmatstr. 152/Postfach Zürich 8031,,
22155,Tramendstation Triemli,Birmensdorferstrasse,8055,Zürich,ZH,CH,DE,044/461 16 27,TRIEMLI,k kiosk snacks drinks,Birmensdorferstrasse Zürich 8055,47.3676433,8.489349
22160,k Kiosk Hardplatz,Hardplatz/Hohlstrasse,8004,Zürich,ZH,CH,DE,044/491 76 67,HARDPLATZ,k kiosk,Hardplatz/Hohlstrasse Zürich 8004,47.3850899,8.508435
22353,k Kiosk Letzipark,Baslerstr.50 /Postfach,8048,Zürich,ZH,CH,DE,044/491 48 07,LETZIPARK,k kiosk presse,Baslerstr.50 /Postfach Zürich 8048,47.3860458,8.4793558
22383,k Kiosk Schmiede Wiedikon,Birmensdorferstr. 143,8003,Zürich,ZH,CH,DE,044/462 34 24,SCHMIEDE,k kiosk,Birmensdorferstr. 143 Zürich 8003,47.3697438,8.5197592
22684,Beim MM Winterthurerstr.,Winterthurerstrasse 524,8051,Zürich,ZH,CH,DE,044/321 59 29,MM WINTERT,k kiosk,Winterthurerstrasse 524 Zürich 8051,47.4039399,8.572655
22695,k Kiosk Hirzenbach,Grosswiesenstrasse 151,8051,Zürich,ZH,CH,DE,044/322 73 61,HIRZENBACH,k kiosk,Grosswiesenstrasse 151 Zürich 8051,47.4033891,8.5883435
22903,Tramendstation Farbhof,Badenerstr. 751,8048,Zürich,ZH,CH,DE,044/431 11 71,FARBHOF,k kiosk,Badenerstr. 751 Zürich 8048,47.39053,8.4787615
22907,beim MM Bauhof,Baumackerstr. 35,8050,Zürich,ZH,CH,DE,044/311 36 82,B.MM BAUHO,k kiosk,Baumackerstr. 35 Zürich 8050,47.4088154,8.5438464
22980,Kiosk Binz,Uetlibergstrasse 70,8045,Zürich,ZH,CH,DE,044/462 28 72,BINZ,k kiosk,Uetlibergstrasse 70 Zürich 8045,47.3626755,8.5185965
25935,Beim MM Stockerstrasse,STOCKERSTRASSE 47,8002,Zürich,ZH,CH,DE,044/202 70 55,BEIM MM,k kiosk,STOCKERSTRASSE 47 Zürich 8002,47.3682955,8.5341294
25940,Beim MM Wengistrasse,Wengistrasse 7,8004,Zürich,ZH,CH,DE,044/242 62 19,MM WENGIST,k kiosk,Wengistrasse 7 Zürich 8004,47.3749098,8.5232937
25942,K Kiosk beim MM Wiedikon,Birmensdorferstrasse 320,8055,Zürich,ZH,CH,DE,044/462 91 22,MM WIEDIKO,k kiosk,Birmensdorferstrasse 320 Zürich 8055,47.3699189,8.5084515
29762,P&B Airsidecenter T2 L1,Airsidecenter T2 L1,8060,Zürich-Flughafen,ZH,CH,DE,043/818 92 82,PRESS&BOOK,k kiosk presse buch,Airsidecenter T2 L1 Zürich-Flughafen 8060,,
29763,kiosk Abflug T2 L1,Abflug T2 L1,8060,Zürich-Flughafen,ZH,CH,DE,043/818 97 20,KIOSK T2 A,k kiosk,Abflug T2 L1 Zürich-Flughafen 8060,,
31706,Gate Shop A 10,Airsidecenter T1,8060,Zürich-Flughafen,ZH,CH,DE,043/816 29 05,GATE SHOP,k kiosk,Airsidecenter T1 Zürich-Flughafen 8060,,
32427,k Kiosk Puls 5,Giessereistr.18,8005,Zürich,ZH,CH,DE,044/440 45 10,KIOSK PLUS,k kiosk,Giessereistr.18 Zürich 8005,47.3904664,8.5176922
34495,k Kiosk MM Seebach,Schaffhauserstr. 470,8052,Zürich,ZH,CH,DE,044/301 29 50,MM SEEBACH,k kiosk,Schaffhauserstr. 470 Zürich 8052,47.4195818,8.5486156
34833,Kiosk Busbahnhof,Neues Shop.-Center/PF2436,8060,Zürich-Flughafen,ZH,CH,DE,043/305 27 10,KIOSK BUSB,k kiosk snacks drinks,Neues Shop.-Center/PF2436 Zürich-Flughafen 8060,,
34844,k Kiosk Sihlcity,Kalandergasse 1,8045,Zürich,ZH,CH,DE,043/817 68 49,SIHLCITY,k kiosk snacks drinks,Kalandergasse 1 Zürich 8045,47.359155,8.5231415
35982,BK Halle LandesmuseumK003,Hauptbahnhof,8001,Zürich,ZH,CH,DE,044/210 13 50,BK HALLE,k kiosk,Hauptbahnhof Zürich 8001,47.3717306,8.5386279
35999,BK Halle Löwenstr.(K037),Hauptbahnhof,8001,Zürich,ZH,CH,DE,043/317 11 51,BK HALLE,k kiosk,Hauptbahnhof Zürich 8001,47.3717306,8.5386279
36020,Buffet Espresso,Hofwiesenstrasse 369,8050,Zürich-Oerlikon,ZH,CH,DE,044/311 75 50,BUFFET ESP,Espresso,Hofwiesenstrasse 369 Zürich-Oerlikon 8050,47.4114754,8.5441136
36023,Caffe Spettacolo,Letzipark/Baslerstr. 50,8048,Zürich,ZH,CH,DE,044/400 08 81,CAFFE LETZ,Spettacolo,Letzipark/Baslerstr. 50 Zürich 8048,47.3863565,8.4987686
36051,Caffe Spettacolo,Birmensdorferstrasse 80,8003,Zürich-Wiedikon,ZH,CH,DE,044/450 57 75,CAFFE SPET,Spettacolo,Birmensdorferstrasse 80 Zürich-Wiedikon 8003,47.3714079,8.5235932
36056,Caffe Spettacolo,Bahnhof SBB,8048,Zürich-Altstetten,ZH,CH,DE,044/430 45 05,CAFFE SPET,Spettacolo,Bahnhof SBB Zürich-Altstetten 8048,47.3882368,8.4830508
36065,Caffe Spettacolo,Birmensdorfstrasse 145,8003,Zürich,ZH,CH,DE,044/450 48 76,CAFFE,Spettacolo,Birmensdorfstrasse 145 Zürich 8003,47.3697901,8.5196145
36080,Caffe Spettacolo,Bleicherweg 17B,8002,Zürich,ZH,CH,DE,043/344 54 80,CAFFE BLEI,Spettacolo,Bleicherweg 17B Zürich 8002,47.3679258,8.536083
36083,CAFFE SPETTACOLO ZH HB,KASERNENSTRASSE 113,8021,ZUERICH,ZH,CH,DE,043/317 91 72,S-BAHN CAF,Spettacolo,KASERNENSTRASSE 113 ZUERICH 8021,47.3766811,8.5349612
36105,CAFFE SPETTACOLO,BAHNREISEZENTRUM,8058,ZUERICH-FLUGHAFEN,ZH,CH,DE,043/255 66 25,CAFE SPETT,Spettacolo,BAHNREISEZENTRUM ZUERICH-FLUGHAFEN 8058,,
36302,Press&Books CheckIn T2L2,Check In T2 L2,8060,Zürich-Flughafen,ZH,CH,DE,043/818 93 47,PRESS&BOOK,k kiosk presse buch,Check In T2 L2 Zürich-Flughafen 8060,,
36311,k kiosk Airgate,Thurgauerstrasse 40,8050,Zürich,ZH,CH,DE,044/302 33 61,AIRGATE,k kiosk,Thurgauerstrasse 40 Zürich 8050,47.4149319,8.5522955
39511,k kiosk Press + Buch,Check In T2 L2,8060,Zürich-Flughafen,ZH,CH,DE,043/818 93 47,PRESS +BUC,k kiosk presse buch,Check In T2 L2 Zürich-Flughafen 8060,,
39514,BK Perronhalle,Postfach 2853,8021,Zürich,ZH,CH,DE,044/211 50 80,BK PERRONH,k kiosk,Postfach 2853 Zürich 8021,,
39517,BK Haupteingang,Postfach,8023,Zürich,ZH,CH,DE,044/211 99 30,BK HAUPTEI,k kiosk,Postfach Zürich 8023,,
39519,BK Passage,Postfach,8023,Zürich,ZH,CH,DE,044/212 39 77,BK PASSAGE,k kiosk,Postfach Zürich 8023,,
39526,BK Perronunterführung,Passage-Sihlquai/PF,8023,Zürich,ZH,CH,DE,044/210 35 16,BK PERRONU,k kiosk snacks drinks,Passage-Sihlquai/PF Zürich 8023,,
39541,k Kiosk Kino Morgental,Albisstrasse 44,8038,Zürich,ZH,CH,DE,044/482 55 13,KINO MORGE,k kiosk,Albisstrasse 44 Zürich 8038,47.3438785,8.5297693
39544,Bahnhofkiosk,Altstetten,8048,Zürich,ZH,CH,DE,044/432 08 60,BK ALTSTET,k kiosk snacks drinks,Altstetten Zürich 8048,47.3882368,8.4830508
39618,Bahnhofkiosk Enge z'Halle,Tessinerplatz,8002,Zürich,ZH,CH,DE,044/202 18 28,BK ENGE Z',k kiosk presse buch/snacks drinks,Tessinerplatz Zürich 8002,47.3639183,8.5315011
39624,Kiosk Bahnreisezentrum,Postfach 2386,8060,Zürich-Flughafen,ZH,CH,DE,043/816 36 60,BAHNREISEZ,k kiosk,Postfach 2386 Zürich-Flughafen 8060,,
39644,Bahnhofkiosk,Hardbrücke,8005,Zürich,ZH,CH,DE,044/272 89 78,BK HARDBRÜ,k kiosk,Hardbrücke Zürich 8005,47.387975,8.5198818
39646,BK Presse-Kiosk,Hauptbahnhof,8021,Zürich,ZH,CH,DE,044/212 30 78,BK PRESSE-,k kiosk presse buch,Hauptbahnhof Zürich 8021,47.3717306,8.5386279
39720,Bahnhofkiosk,Bahnhof SBB Oerlikon,8050,Zürich,ZH,CH,DE,044/310 18 06,BHF KIOSK,Valora shop,Bahnhof SBB Oerlikon Zürich 8050,47.4093339,8.5448754
39773,k Kiosk Endstat. Seebach,Schaffhauserstr. 509,8052,Zürich,ZH,CH,DE,044/301 06 57,ENDSTATION,k kiosk,Schaffhauserstr. 509 Zürich 8052,47.4221474,8.5502728
39787,Bahnhofkiosk,Stadelhofen,8001,Zürich,ZH,CH,DE,044/261 70 43,BK STADELH,k kiosk snacks drinks,Stadelhofen Zürich 8001,47.366563,8.548457
39788,BK Stadelhofen-Passage,Spaltenstein,8001,Zürich,ZH,CH,DE,044/251 15 43,BK STADELH,k kiosk,Spaltenstein Zürich 8001,47.4469561,8.6323767
39790,BK Stadelhofen-Unterf.,Unterführung,8001,Zürich,ZH,CH,DE,044/252 35 60,BK STADEL.,k kiosk,Unterführung Zürich 8001,47.4434741,8.5707246
39796,k Kiosk Airgate,Thurgauerstrasse 40,8050,Zürich,ZH,CH,DE,044/302 33 61,AIRGATE,k kiosk,Thurgauerstrasse 40 Zürich 8050,47.4149319,8.5522955
39798,BK Tiefenbrunnen,Bellerivestrasse 251,8008,Zürich,ZH,CH,DE,044/422 50 39,BK TIEFENB,k kiosk snacks drinks,Bellerivestrasse 251 Zürich 8008,47.3500892,8.5613275
39826,BK Wiedikon,Birmensdorferstrasse 80,8003,Zürich,ZH,CH,DE,044/463 42 04,BK WIEDIKO,k kiosk snacks drinks,Birmensdorferstrasse 80 Zürich 8003,47.3714079,8.5235932
39835,BK Wollishofen,Seestrasse,8038,Zürich,ZH,CH,DE,044/482 92 90,BK WOLLISH,k kiosk snacks drinks,Seestrasse Zürich 8038,47.3430832,8.5358346
